route_id,source_run_id,raw_artifact_id,source_series_id,internal_indicator_id,category,release_bundle,reference_date,vintage_date,raw_value,normalized_numeric_value,unit,frequency,seasonal_adjustment,raw_label,availability_date,effective_at_utc,effective_at_asia_kuala_lumpur,availability_rule,parser_format,point_in_time_classification,protocol_eligibility,historical_reconstruction,raw_artifact_sha256,pilot_version_number,supersedes_pilot_observation_id,pilot_observation_id,version_kind,observation_payload_sha256
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-01-01,2000-12-28,4668.8,4668.8,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-Jan.,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-01-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,c3b305f2d9e79d63729713a2aa4fc4b7a643361d23d2b1ab8110d2860ffb642f
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-02-01,2000-12-28,4682.0,4682.0,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-Feb.,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-02-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,fa942d5f000160ce05d7bbd977e1ef77f450eee73235f23b9182269d3ad713ad
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-03-01,2000-12-28,4720.1,4720.1,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-Mar.,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-03-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,c9a19b06a3f2a5a375b77284e2c59f5a1fad7f4bcc0e4aa08d0b9c42a2f73b12
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-04-01,2000-12-28,4762.3,4762.3,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-Apr.,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-04-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,1cc0f0a69908b8b34f261db46c7cb5608943c0a276002f8d92834e46d681f5d2
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-05-01,2000-12-28,4761.0,4761.0,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-May,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-05-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,ac5d8c0325d79c3f66f0300d9088aa2bab592a107f3a2f1d66272a650c0499e5
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-06-01,2000-12-28,4776.5,4776.5,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-June,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-06-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,fb8af9d9251a96cb152f13390d32a06b4d3375edc76b8cf24b5b133858d009b6
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-07-01,2000-12-28,4790.9,4790.9,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-July,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-07-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,4cfd05969a61c4ee1810c7552cea7efa5165444b4df9eab5584317ff714bbe9b
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-08-01,2000-12-28,4821.3,4821.3,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-Aug.,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-08-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,1f26e094b2534ddbe28ea91a1338dae847214d41959eaf8fe6cfd7738dbf5d63
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-09-01,2000-12-28,4857.5,4857.5,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-Sep.,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-09-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,c01a1cb950b0015c0a85157b536ab9ef8065f644f4500831f4c27207551f125f
FED_H6_ARCHIVE_M2,role5-pilot-20001228,role5-pilot-20001228-body,H6/M2SL,US_M2_MONEY_STOCK_SA,LIQUIDITY,MONEY_SUPPLY_BUNDLE,2000-10-01,2000-12-28,4876.0,4876.0,BILLIONS_OF_DOLLARS,MONTHLY_REFERENCE_VALUES_FROM_WEEKLY_OR_MONTHLY_RELEASE_SNAPSHOT,SEASONALLY_ADJUSTED,2000-Oct.,2000-12-28,2000-12-29T17:00:00Z,2000-12-30T01:00:00+08:00,J0_CONSERVATIVE_36H_FROM_DATED_RELEASE_DATE_START_AMERICA_NEW_YORK,LEGACY_PRE,SOURCE_VERSION_UNRESOLVED,INELIGIBLE_PILOT_SPARSE_REVISION_CHAIN,True,4a849b696b139e79242f1a7a7344f6988245fe70dc1c9af70b42ab00ee6f7721,0,,H6-M2-2000-10-01-2000-12-28-0,FIRST_SEEN_IN_SPARSE_PILOT,9c60b4f8ec4d6938fa1f4799b94a770928a769ca009cdc69275e748985c020ef
