actual_entry_fill_points,actual_exit_fill_points,ambiguous_adverse_first,bars_held_m1,block_kind,block_lower,block_upper,commission_cost_points,component_ids,confluence_lower,confluence_upper,cost_adjusted_entry_points,cost_adjusted_exit_points,cost_evidence_class,d1_candle2_start,decision_time,direction,entry_bar_start,entry_path_available_at,entry_reference_points,event_id,exit_reason,exit_reference_points,exit_time,experiment_id,expiry_time,exposure_label,family,fill_evidence_class,fill_reason,fill_status,final_holdout_accesses,financing_cost_points,gross_movement_points,gross_r,holding_hours,mode,net_points,net_r,outcome,program_id,protected_data_accesses,risk_points,scenario_id,setup_id,slippage_cost_points,spread_cost_points,stop_reference_points,strategy_id,target_multiple,target_reference_points,timeframe
12799.05,12815.325,False,10,BREAKER,12795.2,12806.9,2,FVG-005832|BREAKER-000629|FVG-005850|BREAKER-000632|FVG-006027|BREAKER-000663,12798.8,12799.3,12800.55,12813.825,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2021-03-25 00:00:00,2021-03-26 22:02:00,BULLISH,2021-03-26 22:03:00,2021-03-26 22:04:00,12799.05,D1-20210325-BULLISH,TARGET_1_5R,12815.325,2021-03-26 22:13:00,MLR-TECH-ABL-001,2021-03-27 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.0,16.275,1.5,0.15,TECHNICAL_ONLY_ABLATION,11.275,1.039170506912442396313364055,WIN_TARGET_1_5R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,10.85,NORMALIZED_MEDIUM_COST,D1-20210325-BULLISH-HIER-C2_FVG_BREAKER,1.0,2,12793.2,HIERARCHICAL_M15_M5_M1,1.5,12815.325,HIERARCHICAL_M15_M5_M1
12799.05,12833.325,False,16,BREAKER,12795.2,12806.9,4,FVG-005832|BREAKER-000629|FVG-005850|BREAKER-000632|FVG-006027|BREAKER-000663,12798.8,12799.3,12803.55,12828.825,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2021-03-25 00:00:00,2021-03-26 22:02:00,BULLISH,2021-03-26 22:03:00,2021-03-26 22:04:00,12799.05,D1-20210325-BULLISH,TARGET_1_5R,12833.325,2021-03-26 22:19:00,MLR-TECH-ABL-001,2021-03-27 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.00,34.275,1.5,0.25,TECHNICAL_ONLY_ABLATION,21.275,0.9310722100656455142231947484,WIN_TARGET_1_5R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,22.85,NORMALIZED_HIGH_COST,D1-20210325-BULLISH-HIER-C2_FVG_BREAKER,3.0,6,12789.2,HIERARCHICAL_M15_M5_M1,1.5,12833.325,HIERARCHICAL_M15_M5_M1
14311.400000000001,14309.1,True,1,BREAKER,14310.1,14322.0,1.0,FVG-007006|BREAKER-000779|FVG-007011|BREAKER-000783|FVG-007119|BREAKER-000787,14311.1,14311.7,14312.150000000001,14308.35,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2022-01-24 00:00:00,2022-01-25 21:41:00,BULLISH,2022-01-25 22:07:00,2022-01-25 22:08:00,14311.400000000001,D1-20220124-BULLISH,ENTRY_BAR_STOP_ADVERSE,14309.1,2022-01-25 22:08:00,MLR-TECH-ABL-001,2022-01-26 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0,-2.300000000001,-0.4791666666667751736111110885,0.0,TECHNICAL_ONLY_ABLATION,-4.800000000001,-1,AMBIGUOUS_ADVERSE_FIRST,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,4.800000000001,NORMALIZED_LOW_COST,D1-20220124-BULLISH-HIER-C2_FVG_BREAKER,0.50,1,14309.1,HIERARCHICAL_M15_M5_M1,1.5,14318.6000000000025,HIERARCHICAL_M15_M5_M1
14311.400000000001,14308.1,True,1,BREAKER,14310.1,14322.0,2,FVG-007006|BREAKER-000779|FVG-007011|BREAKER-000783|FVG-007119|BREAKER-000787,14311.1,14311.7,14312.900000000001,14306.6,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2022-01-24 00:00:00,2022-01-25 21:41:00,BULLISH,2022-01-25 22:07:00,2022-01-25 22:08:00,14311.400000000001,D1-20220124-BULLISH,ENTRY_BAR_STOP_ADVERSE,14308.1,2022-01-25 22:08:00,MLR-TECH-ABL-001,2022-01-26 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.0,-3.300000000001,-0.3975903614458557120046450776,0.0,TECHNICAL_ONLY_ABLATION,-8.300000000001,-1,AMBIGUOUS_ADVERSE_FIRST,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,8.300000000001,NORMALIZED_MEDIUM_COST,D1-20220124-BULLISH-HIER-C2_FVG_BREAKER,1.0,2,14308.1,HIERARCHICAL_M15_M5_M1,1.5,14323.8500000000025,HIERARCHICAL_M15_M5_M1
14311.400000000001,14304.1,False,4,BREAKER,14310.1,14322.0,4,FVG-007006|BREAKER-000779|FVG-007011|BREAKER-000783|FVG-007119|BREAKER-000787,14311.1,14311.7,14315.900000000001,14299.6,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2022-01-24 00:00:00,2022-01-25 21:41:00,BULLISH,2022-01-25 22:07:00,2022-01-25 22:08:00,14311.400000000001,D1-20220124-BULLISH,STOP,14304.1,2022-01-25 22:11:00,MLR-TECH-ABL-001,2022-01-26 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C2_FVG_BREAKER,M1_STRICT_PENETRATION_NO_FAVORABLE_IMPROVEMENT,STRICT_M1_LIMIT_PENETRATION,FILLED,0,0.00,-7.300000000001,-0.3596059113300808075905748729,0.05,TECHNICAL_ONLY_ABLATION,-20.300000000001,-1,LOSS_1R,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,20.300000000001,NORMALIZED_HIGH_COST,D1-20220124-BULLISH-HIER-C2_FVG_BREAKER,3.0,6,14304.1,HIERARCHICAL_M15_M5_M1,1.5,14341.8500000000025,HIERARCHICAL_M15_M5_M1
,,False,0,OB,13075.8,13081.9,0,FVG-007300|OB-001367|FVG-007311|OB-001370|FVG-007404|OB-001394,13075.8,13076.4,,,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2022-05-02 00:00:00,2022-05-03 15:16:00,BULLISH,,,,D1-20220502-BULLISH,OB_MITIGATED_BEFORE_MIDPOINT,,,MLR-TECH-ABL-001,2022-05-04 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C1_OB_FVG,M1_BLOCK_TOUCH,OB_MITIGATED_BEFORE_MIDPOINT,NO_FILL,0,0,,,,TECHNICAL_ONLY_ABLATION,,,NO_FILL,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,,NORMALIZED_LOW_COST,D1-20220502-BULLISH-HIER-C1_OB_FVG,0,0,,HIERARCHICAL_M15_M5_M1,1.5,,HIERARCHICAL_M15_M5_M1
,,False,0,OB,13075.8,13081.9,0,FVG-007300|OB-001367|FVG-007311|OB-001370|FVG-007404|OB-001394,13075.8,13076.4,,,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2022-05-02 00:00:00,2022-05-03 15:16:00,BULLISH,,,,D1-20220502-BULLISH,OB_MITIGATED_BEFORE_MIDPOINT,,,MLR-TECH-ABL-001,2022-05-04 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C1_OB_FVG,M1_BLOCK_TOUCH,OB_MITIGATED_BEFORE_MIDPOINT,NO_FILL,0,0,,,,TECHNICAL_ONLY_ABLATION,,,NO_FILL,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,,NORMALIZED_MEDIUM_COST,D1-20220502-BULLISH-HIER-C1_OB_FVG,0,0,,HIERARCHICAL_M15_M5_M1,1.5,,HIERARCHICAL_M15_M5_M1
,,False,0,OB,13075.8,13081.9,0,FVG-007300|OB-001367|FVG-007311|OB-001370|FVG-007404|OB-001394,13075.8,13076.4,,,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2022-05-02 00:00:00,2022-05-03 15:16:00,BULLISH,,,,D1-20220502-BULLISH,OB_MITIGATED_BEFORE_MIDPOINT,,,MLR-TECH-ABL-001,2022-05-04 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C1_OB_FVG,M1_BLOCK_TOUCH,OB_MITIGATED_BEFORE_MIDPOINT,NO_FILL,0,0,,,,TECHNICAL_ONLY_ABLATION,,,NO_FILL,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,,NORMALIZED_HIGH_COST,D1-20220502-BULLISH-HIER-C1_OB_FVG,0,0,,HIERARCHICAL_M15_M5_M1,1.5,,HIERARCHICAL_M15_M5_M1
,,False,0,OB,12533.2,12541.1,0,FVG-009195|OB-001715|FVG-009210|OB-001723|FVG-009283|OB-001756,12540.0,12540.8,,,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2023-03-17 00:00:00,2023-03-20 21:01:00,BEARISH,,,,D1-20230317-BEARISH,OB_MITIGATED_BEFORE_MIDPOINT,,,MLR-TECH-ABL-001,2023-03-21 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C1_OB_FVG,M1_BLOCK_TOUCH,OB_MITIGATED_BEFORE_MIDPOINT,NO_FILL,0,0,,,,TECHNICAL_ONLY_ABLATION,,,NO_FILL,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,,NORMALIZED_LOW_COST,D1-20230317-BEARISH-HIER-C1_OB_FVG,0,0,,HIERARCHICAL_M15_M5_M1,1.5,,HIERARCHICAL_M15_M5_M1
,,False,0,OB,12533.2,12541.1,0,FVG-009195|OB-001715|FVG-009210|OB-001723|FVG-009283|OB-001756,12540.0,12540.8,,,HYPOTHETICAL_SCENARIO_NOT_BROKER_FACT,2023-03-17 00:00:00,2023-03-20 21:01:00,BEARISH,,,,D1-20230317-BEARISH,OB_MITIGATED_BEFORE_MIDPOINT,,,MLR-TECH-ABL-001,2023-03-21 00:00:00,PREVIOUSLY_EXPOSED_WINDOW,C1_OB_FVG,M1_BLOCK_TOUCH,OB_MITIGATED_BEFORE_MIDPOINT,NO_FILL,0,0,,,,TECHNICAL_ONLY_ABLATION,,,NO_FILL,QRP-MACRO-LIQUIDITY-REVERSAL-001,0,,NORMALIZED_MEDIUM_COST,D1-20230317-BEARISH-HIER-C1_OB_FVG,0,0,,HIERARCHICAL_M15_M5_M1,1.5,,HIERARCHICAL_M15_M5_M1
