available_at,direction,event_id,lower,timeframe,upper,zone_type
2017-10-05 16:29:00,BEARISH,D1-20171004-BEARISH,6022.1,M1,6022.4,C2_FVG_BREAKER
2017-10-05 16:29:00,BEARISH,D1-20171004-BEARISH,6021.9,M1,6022.1,C2_FVG_BREAKER
2017-10-05 16:29:00,BEARISH,D1-20171004-BEARISH,6022.3,M1,6022.4,C2_FVG_BREAKER
2017-10-05 16:29:00,BEARISH,D1-20171004-BEARISH,6021.9,M1,6022.4,C2_FVG_BREAKER
2017-10-05 17:01:00,BEARISH,D1-20171004-BEARISH,6022.0,M1,6022.4,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6019.9,M1,6020.2,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6018.9,M1,6021.7,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6021.4,M1,6022.1,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6022.1,M1,6022.4,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6022.3,M1,6022.4,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6021.8,M1,6022.4,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6023.4,M1,6023.5,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6022.9,M1,6023.0,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6022.0,M1,6023.7,C2_FVG_BREAKER
2017-10-05 17:33:00,BEARISH,D1-20171004-BEARISH,6023.4,M1,6023.7,C2_FVG_BREAKER
2017-10-05 17:48:00,BEARISH,D1-20171004-BEARISH,6023.4,M1,6023.7,C2_FVG_BREAKER
2017-10-05 17:49:00,BEARISH,D1-20171004-BEARISH,6022.2,M1,6022.4,C1_OB_FVG
2017-10-05 17:49:00,BEARISH,D1-20171004-BEARISH,6022.3,M1,6022.4,C1_OB_FVG
2017-10-05 17:49:00,BEARISH,D1-20171004-BEARISH,6022.9,M1,6023.0,C1_OB_FVG
2017-10-05 17:49:00,BEARISH,D1-20171004-BEARISH,6022.2,M1,6022.4,C1_OB_FVG
2017-10-05 17:49:00,BEARISH,D1-20171004-BEARISH,6022.2,M1,6023.4,C1_OB_FVG
2017-10-05 17:50:00,BEARISH,D1-20171004-BEARISH,6020.4,M1,6022.2,C2_FVG_BREAKER
2017-10-05 17:50:00,BEARISH,D1-20171004-BEARISH,6021.9,M1,6022.2,C2_FVG_BREAKER
2017-10-05 17:55:00,BEARISH,D1-20171004-BEARISH,6018.9,M1,6020.2,C2_FVG_BREAKER
2017-10-05 18:04:00,BEARISH,D1-20171004-BEARISH,6020.9,M1,6021.4,C2_FVG_BREAKER
2017-10-05 18:09:00,BEARISH,D1-20171004-BEARISH,6019.9,M1,6021.4,C2_FVG_BREAKER
2017-10-05 18:11:00,BEARISH,D1-20171004-BEARISH,6018.7,M1,6019.9,C2_FVG_BREAKER
2017-10-05 18:11:00,BEARISH,D1-20171004-BEARISH,6018.7,M1,6019.9,C2_FVG_BREAKER
2017-10-05 18:11:00,BEARISH,D1-20171004-BEARISH,6018.2,M1,6018.7,C2_FVG_BREAKER
2017-10-05 18:49:00,BEARISH,D1-20171004-BEARISH,6029.7,M1,6029.9,C2_FVG_BREAKER
